,range,var_name,length
county ID,"(0, 0)",fips,1
Year,"(1, 1)",year,1
targets,"(2, 2)",corn_yield,1
,"(3, 3)",cotton_upland_yield,1
,"(4, 4)",sorghum_yield,1
,"(5, 5)",soybeans_yield,1
,"(6, 6)",spring_wheat_yield,1
,"(7, 7)",winter_wheat_yield,1
weather,"(8, 372)",ppt_day,365
,"(373, 737)",tdmean_day,365
,"(738, 1102)",tmax_day,365
,"(1103, 1467)",tmean_day,365
,"(1468, 1832)",tmin_day,365
,"(1833, 2197)",vpdmax_day,365
,"(2198, 2562)",vpdmin_day,365
land surface,"(2563, 2927)",APCP_layer1_day,365
,"(2928, 3292)",MSTAV_layer1_day,365
,"(3293, 3657)",MSTAV_layer2_day,365
,"(3658, 4022)",SOILM_layer1_day,365
,"(4023, 4387)",SOILM_layer2_day,365
,"(4388, 4752)",SOILM_layer3_day,365
,"(4753, 5117)",SOILM_layer4_day,365
,"(5118, 5482)",SOILM_layer5_day,365
,"(5483, 5847)",SOILM_layer6_day,365
,"(5848, 6212)",SPFH_layer1_day,365
,"(6213, 6577)",TMP_layer1_day,365
,"(6578, 6942)",TSOIL_layer1_day,365
,"(6943, 7307)",TSOIL_layer2_day,365
,"(7308, 7672)",TSOIL_layer3_day,365
,"(7673, 8037)",TSOIL_layer4_day,365
,"(8038, 8402)",wind_layer1_max_day,365
corn progress,"(8403, 8767)","corn_CONDITION, MEASURED IN PCT EXCELLENT_day",365
,"(8768, 9132)","corn_CONDITION, MEASURED IN PCT FAIR_day",365
,"(9133, 9497)","corn_CONDITION, MEASURED IN PCT GOOD_day",365
,"(9498, 9862)","corn_CONDITION, MEASURED IN PCT POOR_day",365
,"(9863, 10227)","corn_CONDITION, MEASURED IN PCT VERY POOR_day",365
,"(10228, 10592)","corn_PROGRESS, MEASURED IN PCT PLANTED_day",365
,"(10593, 10957)","corn_PROGRESS, MEASURED IN PCT EMERGED_day",365
,"(10958, 11322)","corn_PROGRESS, MEASURED IN PCT SILKING_day",365
,"(11323, 11687)","corn_PROGRESS, MEASURED IN PCT DOUGH_day",365
,"(11688, 12052)","corn_PROGRESS, MEASURED IN PCT MILK_day",365
,"(12053, 12417)","corn_PROGRESS, MEASURED IN PCT DENTED_day",365
,"(12418, 12782)","corn_PROGRESS, MEASURED IN PCT MATURE_day",365
,"(12783, 13147)","corn_PROGRESS, MEASURED IN PCT SEEDBED PREPARED_day",365
cotton progress,"(13148, 13512)","cotton_UPLAND - CONDITION, MEASURED IN PCT EXCELLENT_day",365
,"(13513, 13877)","cotton_UPLAND - CONDITION, MEASURED IN PCT FAIR_day",365
,"(13878, 14242)","cotton_UPLAND - CONDITION, MEASURED IN PCT GOOD_day",365
,"(14243, 14607)","cotton_UPLAND - CONDITION, MEASURED IN PCT POOR_day",365
,"(14608, 14972)","cotton_UPLAND - CONDITION, MEASURED IN PCT VERY POOR_day",365
,"(14973, 15337)","cotton_UPLAND - PROGRESS, MEASURED IN PCT HARVESTED_day",365
,"(15338, 15702)","cotton_UPLAND - PROGRESS, MEASURED IN PCT PLANTED_day",365
,"(15703, 16067)","cotton_UPLAND - PROGRESS, MEASURED IN PCT EMERGED_day",365
,"(16068, 16432)","cotton_UPLAND - PROGRESS, MEASURED IN PCT SQUARING_day",365
,"(16433, 16797)","cotton_UPLAND - PROGRESS, MEASURED IN PCT SETTING BOLLS_day",365
,"(16798, 17162)","cotton_UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING_day",365
,"(17163, 17527)","cotton_UPLAND - PROGRESS, MEASURED IN PCT DEFOLIATED_day",365
,"(17528, 17892)","cotton_UPLAND - PROGRESS, MEASURED IN PCT SEEDBED PREPARED_day",365
sorghum progress,"(17893, 18257)","sorghum_CONDITION, MEASURED IN PCT EXCELLENT_day",365
,"(18258, 18622)","sorghum_CONDITION, MEASURED IN PCT FAIR_day",365
