,range,var_name,length
,"(0, 0)",fips,1
,"(1, 1)",year,1
targets (crop yield from USDA),"(2, 2)",corn_yield,1
,"(3, 3)",cotton_upland_yield,1
,"(4, 4)",sorghum_yield,1
,"(5, 5)",soybeans_yield,1
,"(6, 6)",spring_wheat_yield,1
,"(7, 7)",winter_wheat_yield,1
weather (PRISM),"(8, 59)",ppt_week,52
,"(60, 111)",tdmean_week,52
,"(112, 163)",tmax_week,52
,"(164, 215)",tmean_week,52
,"(216, 267)",tmin_week,52
,"(268, 319)",vpdmax_week,52
,"(320, 371)",vpdmin_week,52
land surface (NLDAS),"(372, 423)",APCP_layer1_week,52
,"(424, 475)",MSTAV_layer1_week,52
,"(476, 527)",MSTAV_layer2_week,52
,"(528, 579)",SOILM_layer1_week,52
,"(580, 631)",SOILM_layer2_week,52
,"(632, 683)",SOILM_layer3_week,52
,"(684, 735)",SOILM_layer4_week,52
,"(736, 787)",SOILM_layer5_week,52
,"(788, 839)",SOILM_layer6_week,52
,"(840, 891)",SPFH_layer1_week,52
,"(892, 943)",TMP_layer1_week,52
,"(944, 995)",TSOIL_layer1_week,52
,"(996, 1047)",TSOIL_layer2_week,52
,"(1048, 1099)",TSOIL_layer3_week,52
,"(1100, 1151)",TSOIL_layer4_week,52
,"(1152, 1203)",wind_layer1_max_week,52
corn progress (USDA),"(1204, 1255)","corn_CONDITION, MEASURED IN PCT EXCELLENT_week",52
,"(1256, 1307)","corn_CONDITION, MEASURED IN PCT FAIR_week",52
,"(1308, 1359)","corn_CONDITION, MEASURED IN PCT GOOD_week",52
,"(1360, 1411)","corn_CONDITION, MEASURED IN PCT POOR_week",52
,"(1412, 1463)","corn_CONDITION, MEASURED IN PCT VERY POOR_week",52
,"(1464, 1515)","corn_PROGRESS, MEASURED IN PCT PLANTED_week",52
,"(1516, 1567)","corn_PROGRESS, MEASURED IN PCT EMERGED_week",52
,"(1568, 1619)","corn_PROGRESS, MEASURED IN PCT SILKING_week",52
,"(1620, 1671)","corn_PROGRESS, MEASURED IN PCT DOUGH_week",52
,"(1672, 1723)","corn_PROGRESS, MEASURED IN PCT MILK_week",52
,"(1724, 1775)","corn_PROGRESS, MEASURED IN PCT DENTED_week",52
,"(1776, 1827)","corn_PROGRESS, MEASURED IN PCT MATURE_week",52
,"(1828, 1879)","corn_PROGRESS, MEASURED IN PCT SEEDBED PREPARED_week",52
cotton progress (USDA),"(1880, 1931)","cotton_UPLAND - CONDITION, MEASURED IN PCT EXCELLENT_week",52
,"(1932, 1983)","cotton_UPLAND - CONDITION, MEASURED IN PCT FAIR_week",52
,"(1984, 2035)","cotton_UPLAND - CONDITION, MEASURED IN PCT GOOD_week",52
,"(2036, 2087)","cotton_UPLAND - CONDITION, MEASURED IN PCT POOR_week",52
,"(2088, 2139)","cotton_UPLAND - CONDITION, MEASURED IN PCT VERY POOR_week",52
,"(2140, 2191)","cotton_UPLAND - PROGRESS, MEASURED IN PCT HARVESTED_week",52
,"(2192, 2243)","cotton_UPLAND - PROGRESS, MEASURED IN PCT PLANTED_week",52
,"(2244, 2295)","cotton_UPLAND - PROGRESS, MEASURED IN PCT EMERGED_week",52
,"(2296, 2347)","cotton_UPLAND - PROGRESS, MEASURED IN PCT SQUARING_week",52
,"(2348, 2399)","cotton_UPLAND - PROGRESS, MEASURED IN PCT SETTING BOLLS_week",52
,"(2400, 2451)","cotton_UPLAND - PROGRESS, MEASURED IN PCT BOLLS OPENING_week",52
,"(2452, 2503)","cotton_UPLAND - PROGRESS, MEASURED IN PCT DEFOLIATED_week",52
,"(2504, 2555)","cotton_UPLAND - PROGRESS, MEASURED IN PCT SEEDBED PREPARED_week",52
sorghum progress (USDA),"(2556, 2607)","sorghum_CONDITION, MEASURED IN PCT EXCELLENT_week",52
,"(2608, 2659)","sorghum_CONDITION, MEASURED IN PCT FAIR_week",52
,"(2660, 2711)","sorghum_CONDITION, MEASURED IN PCT GOOD_week",52
,"(2712, 2763)","sorghum_CONDITION, MEASURED IN PCT POOR_week",52
,"(2764, 2815)","sorghum_CONDITION, MEASURED IN PCT VERY POOR_week",52
,"(2816, 2867)","sorghum_PROGRESS, MEASURED IN PCT PLANTED_week",52
